"('8/21/2020', 'CALL', '164')","[(716, '5.95'), (717, '6.95'), (717, '6.96'), (717, '6.9'), (717, '6.7'), (717, '6.7'), (717, '6.7'), (717, '6.77'), (717, '6.95'), (723, '14.29'), (723, '14.3'), (723, '14.24'), (723, '14.14')]"
"('9/18/2020', 'PUT', '106')","[(716, '0.03'), (716, '0.03'), (716, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03'), (717, '0.03')]"
"('9/18/2020', 'PUT', '162')","[(716, '1.51'), (716, '1.46'), (716, '1.33'), (716, '1.33'), (720, '1.07'), (723, '0.74'), (723, '0.74'), (723, '0.74'), (723, '0.72'), (724, '0.68'), (724, '0.68'), (724, '0.68'), (724, '0.68')]"
"('7/31/2020', 'PUT', '173')","[(721, '1.68'), (722, '1.33'), (722, '1.09'), (723, '0.73'), (723, '1.04'), (723, '1.04'), (724, '0.39'), (724, '0.41'), (727, '0.22'), (727, '0.22'), (727, '0.22'), (727, '0.25'), (727, '0.22')]"
"('7/24/2020', 'CALL', '185')","[(721, '0.02'), (722, '0.06'), (722, '0.06'), (722, '0.02'), (723, '0.07'), (723, '0.12'), (723, '0.07'), (723, '0.07'), (723, '0.05'), (723, '0.05'), (723, '0.05'), (724, '0.05'), (724, '0.05')]"
"('8/21/2020', 'CALL', '174.5')","[(722, '4.5'), (722, '4.45'), (722, '4.45'), (722, '3.38'), (722, '3'), (722, '3'), (722, '3'), (722, '3'), (722, '2.99'), (722, '2.99'), (722, '2.98'), (722, '2.98'), (723, '5.18')]"
"('9/18/2020', 'CALL', '183')","[(722, '2.7'), (722, '2.7'), (722, '2.7'), (722, '2.59'), (722, '2.86'), (723, '3.43'), (727, '5.89'), (727, '5.71'), (727, '5.98'), (727, '6.2'), (727, '6.2'), (727, '6.2'), (727, '6.15')]"
"('8/14/2020', 'CALL', '177')","[(722, '2.63'), (722, '2.4'), (722, '2'), (722, '1.7'), (723, '3.35'), (723, '4.22'), (723, '3.95'), (723, '3.45'), (723, '3.45'), (723, '3.45'), (723, '3.47'), (723, '3.45'), (723, '3.3')]"
"('8/21/2020', 'CALL', '193')","[(722, '0.39'), (722, '0.39'), (722, '0.28'), (722, '0.28'), (722, '0.28'), (722, '0.28'), (722, '0.28'), (722, '0.28'), (722, '0.29'), (722, '0.29'), (722, '0.29'), (722, '0.29'), (722, '0.29')]"
"('7/31/2020', 'CALL', '181')","[(723, '1.01'), (723, '0.85'), (723, '1.02'), (723, '1.21'), (723, '1.21'), (723, '1.24'), (723, '1'), (723, '0.9'), (727, '3.1'), (727, '2.93'), (727, '3.38'), (727, '2.93'), (727, '3.24')]"
