Time,Open,High,Low,Last,Change,%Chg,Volume
08/17/2018,167.47,168.47,166.93,168.35,0.72,+0.43%,15106600
08/20/2018,168.81,169.18,167.83,168.82,0.47,+0.28%,12547300
08/21/2018,169.14,171.36,169.12,170.76,1.94,+1.15%,20661100
08/22/2018,170.59,171.49,170.42,171.18,0.42,+0.25%,14329100
08/23/2018,171.09,171.52,170.175,170.66,-0.52,-0.30%,12945700
08/24/2018,171.15,171.78,171.02,171.59,0.93,+0.54%,11894400
08/27/2018,172.11,172.94,171.62,171.84,0.25,+0.15%,15880400
08/28/2018,172.16,172.48,171.1,172,0.16,+0.09%,13170300
08/29/2018,172.02,172.77,171.455,172.5,0.5,+0.29%,13157900
08/30/2018,172.17,173.23,171.82,172.36,-0.14,-0.08%,14199500
08/31/2018,171.96,173.39,171.95,173.02,0.66,+0.38%,12240400
09/04/2018,172.79,173.12,171.12,172.25,-0.77,-0.45%,17923500
09/05/2018,172.18,172.23,170.36,171.79,-0.46,-0.27%,15166000
09/06/2018,172.17,172.48,170.42,170.63,-1.16,-0.68%,16647700
09/07/2018,170.21,171.445,169.658,170.54,-0.09,-0.05%,17247900
09/10/2018,171.25,171.68,170.39,170.75,0.21,+0.12%,11067100
09/11/2018,170.6,171.6,170,171.03,0.28,+0.16%,14078300
09/12/2018,170.79,171.09,169.33,170.62,-0.41,-0.24%,21572300
09/13/2018,171.28,171.54,170.26,170.66,0.04,+0.02%,14570400
09/14/2018,170.77,171.93,170.4,171.38,0.72,+0.42%,15734900
09/17/2018,171.42,171.54,169.35,169.56,-1.82,-1.06%,20023200
09/18/2018,169.8,170.71,169.63,170.27,0.71,+0.42%,13018000
09/19/2018,170.28,171.07,169.07,169.65,-0.62,-0.36%,17593500
09/20/2018,170.37,171.3,169.81,171.22,1.57,+0.93%,16918600
09/21/2018,171.75,171.82,170.22,170.4,-0.82,-0.48%,32538900
09/24/2018,170.26,170.5,168.76,169.77,-0.63,-0.37%,15786600
09/25/2018,170.05,170.52,169.85,170.03,0.26,+0.15%,13758400
09/26/2018,169.93,170.03,167.78,168.03,-2,-1.18%,17787200
09/27/2018,168.37,168.7,167.76,168.04,0.01,+0.01%,14471900
09/28/2018,167.45,169,167.45,168.55,0.51,+0.30%,22740200
10/01/2018,169.29,169.32,165.77,166.33,-2.22,-1.32%,27897400
10/02/2018,166.18,166.53,164.18,164.53,-1.8,-1.08%,28440300
10/03/2018,165.18,166.73,164.51,165.97,1.44,+0.88%,26027200
10/04/2018,165.44,165.65,163.13,163.64,-2.33,-1.40%,29463000
10/05/2018,163.75,164.16,160.66,162.16,-1.48,-0.90%,31240100
10/08/2018,161.77,162.4,160.55,161.82,-0.34,-0.21%,21330600
10/09/2018,161.62,162.74,160.98,161.19,-0.63,-0.39%,20620300
10/10/2018,160.82,160.99,156.36,156.56,-4.63,-2.87%,46921700
10/11/2018,155.81,157.315,153.51,153.57,-2.99,-1.91%,68877400
10/12/2018,155.56,155.76,151.885,153.6,0.03,+0.02%,53492500
10/15/2018,153.36,155.29,152.54,154.17,0.57,+0.37%,32747500
10/16/2018,155.28,158.86,154.04,158.64,4.47,+2.90%,35569000
10/17/2018,158.181,158.22,155.885,157.96,-0.68,-0.43%,24140100
10/18/2018,157.41,157.63,154.37,155,-2.96,-1.87%,31042700
10/19/2018,155.47,156.36,152.74,153.36,-1.64,-1.06%,34214100
10/22/2018,153.92,154.45,152.52,153.03,-0.33,-0.22%,28218300
10/23/2018,150.93,152.89,148.92,151.66,-1.37,-0.90%,37228100
10/24/2018,151.43,151.98,145.82,145.95,-5.71,-3.77%,40412400
10/25/2018,146.73,149.82,146.41,149.11,3.16,+2.17%,32311200
10/26/2018,147.54,149.42,144.7,147.48,-1.63,-1.09%,36986000
10/29/2018,149.13,150.63,145.07,146.67,-0.81,-0.55%,33031200
10/30/2018,146.85,149.89,146.56,149.73,3.06,+2.09%,29017200
10/31/2018,151.26,151.86,150.03,150.03,0.3,+0.20%,36785300
11/01/2018,150.89,153.77,150.81,153.49,3.46,+2.31%,28496300
11/02/2018,154.06,154.89,152.44,154,0.51,+0.33%,26671500
11/05/2018,154.04,154.66,152.35,153.88,-0.12,-0.08%,16940900
11/06/2018,153.65,155.11,153.52,154.64,0.76,+0.49%,15572900
11/07/2018,155.36,157.41,154.8,157.41,2.77,+1.79%,22127700
11/08/2018,156.61,157.9,156.34,156.99,-0.42,-0.27%,14987700
11/09/2018,156,156.03,152.95,154.08,-2.91,-1.85%,20654300
11/12/2018,154.02,154.17,150.84,151.03,-3.05,-1.98%,21886700
11/13/2018,151.6,153.09,150.29,150.55,-0.48,-0.32%,18468400
11/14/2018,151.82,152.5,148.48,149.45,-1.1,-0.73%,24549000
11/15/2018,148.49,151.8,148.13,151.58,2.13,+1.43%,24481900
11/16/2018,150.61,152.29,150.06,151.94,0.36,+0.24%,29323500
11/19/2018,151.68,152.03,148.37,148.86,-3.08,-2.03%,21540800
11/20/2018,147.25,148.43,145.59,145.99,-2.87,-1.93%,25906900
11/21/2018,146.78,149.37,146.53,148.03,2.04,+1.40%,17902200
11/23/2018,146.82,149.3,146.81,147.89,-0.14,-0.09%,11134800
11/26/2018,149.32,150.4,148.74,149.81,1.92,+1.30%,15346400
11/27/2018,149.18,149.73,148.29,148.57,-1.24,-0.83%,14461800
11/28/2018,149.2,152.37,147.7,152.24,3.67,+2.47%,26125900
11/29/2018,151.61,152.74,150.44,151.83,-0.41,-0.27%,15134400
11/30/2018,151.46,152.86,151.08,152.62,0.79,+0.52%,20304600
12/03/2018,154.39,154.48,152.02,154.08,1.46,+0.96%,23353400
12/04/2018,153.75,154.13,147.14,147.52,-6.56,-4.26%,41077900
12/06/2018,145.45,147.2,143.43,147.2,-0.32,-0.22%,37581200
12/07/2018,147.14,148.26,143.27,144.02,-3.18,-2.16%,28525000
12/10/2018,144.27,144.72,141.45,143.6,-0.42,-0.29%,30776500
12/11/2018,145.68,146.19,142.39,143.45,-0.15,-0.10%,29229300
12/12/2018,144.88,146.76,144.76,144.82,1.37,+0.96%,27894800
12/13/2018,145.24,145.69,142.54,142.77,-2.05,-1.42%,23205400
12/14/2018,141.73,143.23,140.095,140.61,-2.16,-1.51%,24037200
12/17/2018,139.67,140.88,136.16,137.02,-3.59,-2.55%,36468400
12/18/2018,138.26,139.18,136.29,136.85,-0.17,-0.12%,42277200
12/19/2018,136.8,138.68,133.25,134,-2.85,-2.08%,47676600
12/20/2018,133.63,134.41,130.23,131.79,-2.21,-1.65%,57908000
12/21/2018,132.38,132.95,127.98,128.37,-3.42,-2.60%,59404800
12/24/2018,127.73,128.47,125.84,125.88,-2.49,-1.94%,28575700
12/26/2018,126.28,132.1,125.81,131.93,6.05,+4.81%,40182600
12/27/2018,130.27,132.48,127.87,132.48,0.55,+0.42%,39527800
12/28/2018,132.48,135.01,131.54,132.86,0.38,+0.29%,35994300
12/31/2018,133.72,134.05,131.8,133.9,1.04,+0.78%,29173300
01/02/2019,132.17,135.17,131.54,134.66,0.76,+0.57%,27295100
01/03/2019,133.91,134.64,131.65,132.25,-2.41,-1.79%,29294600
01/04/2019,133.92,137.6,133.71,137.19,4.94,+3.74%,35355200
01/07/2019,137.26,140.37,136.74,139.59,2.4,+1.75%,30477800
01/08/2019,140.8,141.79,139.39,141.73,2.14,+1.53%,27320900
01/09/2019,142.22,143.39,141.62,142.9,1.17,+0.83%,25764500
01/10/2019,142.06,143.72,141.35,143.64,0.74,+0.52%,22896700
01/11/2019,143.01,143.99,142.68,143.68,0.04,+0.03%,22428300
01/14/2019,142.82,143.44,142.09,142.25,-1.43,-1.00%,29184900
01/15/2019,142.65,143.65,142.09,143.45,1.2,+0.84%,25678900
01/16/2019,143.68,145.25,143.67,144.52,1.07,+0.75%,20827300
01/17/2019,143.99,146.33,143.97,145.83,1.31,+0.91%,19273400
01/18/2019,146.6,147.92,146,147.33,1.5,+1.03%,28306700
