account,entry_collect,entry_collect.acc_volum,entry_collect.am_range,entry_collect.atr,entry_collect.avol,entry_collect.div_amount,entry_collect.entry_mins,entry_collect.entry_range,entry_collect.exchange,entry_collect.is_ETF,entry_collect.open,entry_collect.pm_end,entry_collect.pm_start,entry_collect.pm_volume,entry_collect.post_end,entry_collect.post_start,entry_collect.post_volume,entry_collect.rvol,entry_collect.rvol1,entry_collect.rvol2,entry_collect.rvol3,entry_collect.rvol4,entry_collect.spy_range,entry_collect.symbol_universe,entry_collect.three_day_open,entry_collect.trade_number,entry_collect.yVolume,entry_collect.z_yHigh,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_collect.high_in_trade,exit_collect.rvol,exit_collect.rvol_flag,exit_collect.step,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
default_account,,395080.0,0.2407782552,5.5237622261,3252058.0,0.0,10.0,0.541116415,Q,False,169.11000061,29.0,4.0,1774.0,0.0,0.0,0.0,2.0676028728,5.2653698921,3.6218500137,3.5870313644,2.7184767723,,425.0,0.0081841117,2.0,3672065.0,0.0,1.34,1446.28,170.0,836.0,1.0,2013-12-09 09:45:37.008700,,173.649993897,1.3590914011,,1.0,6.33,171.73,-836.0,-1.0,2013-12-09 15:30:03.454700,836.0,1446.28,BIDU
default_account,,169413.0,0.4293213628,0.9084089994,796678.0,0.0,20.0,0.4953724184,N,False,29.4200000763,0.0,0.0,0.0,0.0,0.0,0.0,2.1603014469,3.7218389511,4.2091579437,3.3290317059,2.4948203564,,425.0,0.0421602457,5.0,797925.0,0.0,3.2,-439.999694824,29.9099998474,2000.0,1.0,2013-12-09 09:55:51.876700,,30.0499992371,1.6443625689,1.0,-1.0,8.93,29.69,-2000.0,-1.0,2013-12-09 10:26:27.084700,2000.0,-439.999694824,MDC
default_account,,96284.0,0.1987484957,1.1069327593,1558977.0,0.0,1.0,0.3161876557,N,False,59.7200012207,0.0,0.0,0.0,0.0,0.0,0.0,2.6469385624,6.091170311,3.3581111431,4.7153906822,3.6867148876,,425.0,0.0281738432,1.0,2183772.0,0.0,8.0,-1799.99237061,59.8499984741,5000.0,1.0,2013-12-09 09:36:10.433700,,59.9599990845,1.4268889427,1.0,-1.0,25.58,59.49,-5000.0,-1.0,2013-12-09 09:48:13.337700,5000.0,-1799.99237061,STJ
default_account,,143294.0,0.239838701,8.3389377594,1894611.0,0.0,0.0,0.2830097404,Q,False,119.25,29.0,3.0,3174.0,179.0,0.0,29536.0,3.8935587406,9.2987232208,6.3231210709,4.9167518616,4.2359976768,,510.0,0.0328306545,2.0,1735475.0,0.0059963335,1.69,-2456.87935364,119.88999939,1059.0,1.0,2016-09-22 09:35:44.405700,,121.0,1.9799259901,1.0,-1.0,6.76,117.57,-1059.0,-1.0,2016-09-22 10:05:48.897700,1059.0,-2456.87935364,ACIA
default_account,,160809.0,0.1932132072,1.2421400547,3127397.0,0.0,0.0,0.1932132072,N,False,71.7699966431,0.0,0.0,0.0,0.0,0.0,0.0,2.6470754147,8.8794956207,4.7296953201,3.1659071445,3.2177519798,,510.0,0.0062981749,1.0,4076364.0,0.0966096747,7.41,-509.206951904,71.9100036621,4629.0,1.0,2016-09-22 09:35:27.975700,,72.1753997803,0.9580746889,1.0,-1.0,24.93,71.8,-4629.0,-1.0,2016-09-22 11:53:45.579700,4629.0,-509.206951904,COF
default_account,,383564.0,0.3879642668,0.5155133605,2524023.0,0.0,9.0,0.678935617,N,False,15.4099998474,13.0,8.0,5604.0,164.0,3.0,330170.0,2.7729372978,2.4004018307,5.0880541801,3.639714241,3.9445741177,,510.0,0.0122107696,4.0,5784198.0,0.3200692252,8.0,-150.0,15.75,5000.0,1.0,2016-09-22 09:44:10.670700,,15.8999996185,1.6897033453,1.0,-1.0,20.81,15.72,-5000.0,-1.0,2016-09-22 10:59:59.762700,5000.0,-150.0,KBH
default_account,,4968634.0,0.1946266736,0.4110429585,4306590.0,0.0,8.0,0.4087169425,Q,False,8.8400001526,29.0,0.0,831297.0,175.0,0.0,111225.0,22.687953949,206.470581055,107.458229065,74.2997817993,57.0038871765,,510.0,0.0053691653,3.0,5516483.0,-0.0048653188,8.0,650.001144409,8.9899997711,5000.0,1.0,2016-09-22 09:43:30.719700,,9.3400001526,4.6881175041,,1.0,20.09,9.12,-5000.0,-1.0,2016-09-22 15:30:00.073700,5000.0,650.001144409,OCLR
default_account,,2141183.0,0.287503957,1.5304222107,48829519.0,0.0,0.0,0.287503957,Q,False,96.2200012207,29.0,0.0,101411.0,179.0,0.0,2625989.0,2.2574093342,6.2671456337,3.9933114052,3.100553751,2.6101286411,,644.0,0.0235518902,1.0,36654710.0,0.2613667804,8.0,-400.016784668,96.4800033569,5000.0,1.0,2014-08-12 09:35:40.097700,,96.8799972534,1.0944766998,True,-1.0,29.6,96.4,-5000.0,-1.0,2014-08-12 10:11:11.818700,5000.0,-400.016784668,AAPL
default_account,,82936.0,0.2531367098,1.540667057,469949.0,0.0,16.0,0.4121605206,Q,False,85.4000015259,28.0,3.0,4664.0,0.0,0.0,0.0,2.1379392147,19.0486774445,10.5309200287,8.2523260117,7.1015882492,,644.0,0.0137132488,2.0,394708.0,0.0,3.2,-120.0,85.75,2000.0,1.0,2014-08-12 09:51:32.939700,,86.3199996948,1.0177987814,True,-1.0,11.37,85.69,-2000.0,-1.0,2014-08-12 12:41:00.068700,2000.0,-120.0,GOLD
default_account,,60672.0,0.2531225751,0.316052109,406346.0,0.0,7.0,0.474604074,Q,False,5.3400001526,0.0,0.0,0.0,0.0,0.0,0.0,3.1832602024,9.4799718857,6.7871541977,5.9067473412,5.0027446747,,767.0,0.0788953856,2.0,660224.0,0.1582008551,3.2,440.000457764,5.4899997711,2000.0,1.0,2016-02-29 09:42:18.042700,,5.9200000763,2.30519557,,1.0,7.89,5.71,-2000.0,-1.0,2016-02-29 15:30:05.006700,2000.0,440.000457764,FCEL
