Time,Open,High,Low,Last,Change,%Chg,Volume,1day %chg,2day %chg,3day %chg,4day %chg,5day %chg,9day %chg,13day %chg,20day %chg,% of 1day range,% of 2day range,% of 3day range,% of 4day range,% of 5day range,% of 9day range,% of 13day range,% of 20day range,1day high %above,2day high %above,3day high %above,4day high %above,5day high %above,9day high %above,13day high %above,20day high %above,1day low %above,2day low %above,3day low %above,4day low %above,5day low %above,9day low %above,13day low %above,20day low %above,1ma %above,2ma %above,3ma %above,4ma %above,5ma %above,9ma %above,13ma %above,20ma %above,49ma %above,1vwap %above,2vwap %above,3vwap %above,4vwap %above,5vwap %above,9vwap %above,13vwap %above,20vwap %above,49vwap %above 
03/12/2014,117.34,118.44,116.92,118.42,0.36,+0.30%,37236900,-0.60986,-1.64292,-1.9716,-2.00434,-2.02071,-0.55089,1.45253,4.7398,-114.78261,-114.78261,-111.48649,-111.48649,-111.48649,-29.6,-25.09653,33.26468,-2.0616,-2.0616,-2.59816,-2.59816,-2.59816,-2.68701,-2.68701,-2.68701,-0.14467,-0.14467,-0.14467,-0.14467,-0.14467,1.52275,1.68111,5.83566,-0.94547,-1.22203,-1.48235,-1.62643,-1.70059,-1.13988,-0.58956,0.71945,2.24205,-0.94547,-1.16086,-1.4217,-1.56651,-1.64557,-1.18138,-0.72042,0.55078,2.51451
03/13/2014,118.85,118.96,116.38,117.05,-1.37,-1.16%,53542700,0.36311,0.66915,-0.3772,-0.71011,-0.74328,1.13172,2.00841,5.67262,153.94737,33.56401,33.56401,8.73239,8.73239,30.8,30.8,62.47289,0.34617,-0.80127,-0.80127,-1.34473,-1.34473,-1.43473,-1.43473,-1.43473,1.6507,1.6507,1.6507,1.6507,1.6507,2.82921,2.82921,6.72593,0.78297,0.55559,0.29254,0.03297,-0.13388,0.10201,0.54534,1.7457,3.50579,0.78297,0.52157,0.31911,0.06778,-0.09137,0.08317,0.44568,1.57152,3.78556
03/14/2014,116.63,117.87,116.62,117.54,0.49,+0.42%,46894000,-0.35882,-1.51157,-1.21125,-2.23806,-2.56475,-0.22243,0.0,2.39684,-80.62016,-80.62016,-85.42274,-85.42274,-87.77506,-58.0,-58.0,14.3167,-1.95864,-1.95864,-2.6542,-2.6542,-3.18752,-3.27583,-3.27583,-3.27583,0.21481,0.21481,0.21481,0.21481,0.21481,0.90846,0.90846,4.7324,-0.70944,-0.90488,-1.11912,-1.36442,-1.61238,-1.74818,-1.39286,-0.36719,1.53541,-0.70944,-0.86983,-1.11179,-1.29505,-1.52554,-1.75263,-1.47487,-0.53973,1.79459
03/17/2014,118.22,119.1,117.88,118.06,0.52,+0.44%,41563300,0.57853,0.99957,-0.16889,0.13552,-0.90528,-1.34357,0.74137,3.6472,156.0,42.63566,42.63566,7.28863,7.28863,-12.38095,5.6,36.55914,0.29694,-0.62206,-0.62206,-1.3271,-1.3271,-1.95721,-1.95721,-1.95721,1.37198,1.58103,1.58103,1.58103,1.58103,1.58103,2.28413,4.49001,0.7471,0.69561,0.54621,0.35796,0.1327,-0.48015,-0.09144,0.80881,2.86383,0.7471,0.6922,0.57187,0.36322,0.19814,-0.49807,-0.13141,0.6384,3.12122
03/18/2014,118.22,119.88,118.1,119.78,1.72,+1.46%,41606500,0.13552,0.57853,0.99957,-0.16889,0.13552,-1.28591,0.19493,2.57701,-44.2623,29.03226,35.29412,35.29412,7.28863,-10.02445,5.6,29.23538,-0.73887,-0.73887,-0.73887,-0.73887,-1.3271,-1.86768,-1.95721,-1.95721,0.28843,1.37198,1.58103,1.58103,1.58103,1.58103,2.28413,3.78369,-0.10703,0.31821,0.42663,0.3821,0.26461,-0.36987,-0.15959,0.61391,2.79483,-0.10703,0.34396,0.45695,0.41362,0.27777,-0.26943,-0.19066,0.48224,3.05485
03/19/2014,119.68,119.74,118.1,119,-0.78,-0.65%,47412600,-0.08349,1.37218,1.82066,2.2469,1.06401,-0.05011,1.83799,4.91803,77.52809,80.0,87.73006,88.57143,88.57143,61.36919,64.0,73.01349,-0.16683,-0.16683,-0.16683,-0.16683,-0.16683,-0.65576,-0.74639,-0.74639,1.33785,1.52698,2.62391,2.83554,2.83554,2.83554,3.54733,5.0654,0.35778,0.74074,1.15417,1.33642,1.36646,0.90558,0.9652,1.67015,3.97196,0.35778,0.74054,1.18795,1.39084,1.40701,0.98856,0.96128,1.56818,4.23928
03/20/2014,118.73,119.54,118.16,119.16,0.16,+0.13%,33212900,-0.22689,-0.87661,0.56751,1.01242,1.43528,-0.81036,1.57413,2.97485,-23.17073,-29.21348,-15.0,29.44785,34.28571,14.91443,26.0,44.52774,-0.84349,-0.95929,-0.95929,-0.95929,-0.95929,-1.44434,-1.53425,-1.53425,0.53345,0.53345,0.72107,1.8093,2.01925,2.01925,2.72539,4.23141,-0.18215,-0.31066,-0.10003,0.21735,0.38837,0.18501,0.08127,0.67567,3.06831,-0.18215,-0.30229,-0.10383,0.23266,0.4274,0.24074,0.07807,0.57135,3.32746
03/21/2014,119.72,120.26,118.56,118.61,-0.55,-0.46%,47872700,0.46996,0.60504,-0.05009,1.40606,1.85469,0.35205,-0.0918,3.51029,126.08696,97.56098,82.02247,84.0,90.18405,90.85714,59.04762,66.79537,0.15058,-0.0167,-0.13347,-0.13347,-0.13347,-0.13347,-0.71322,-0.71322,1.32024,1.37172,1.37172,1.56091,2.65821,2.86991,2.86991,3.7435,0.64451,0.64733,0.56185,0.71083,0.97103,1.09431,0.76049,1.34169,3.84892,0.64451,0.64783,0.56037,0.71196,1.00136,1.14492,0.75019,1.27073,4.12901
03/24/2014,119.07,119.23,116.19,117.26,-1.35,-1.14%,66747000,0.38783,-0.07553,0.05882,-0.59275,0.8555,0.8555,-0.57615,2.19724,-40.0,-13.33333,-10.18519,-10.18519,0.0,38.65979,31.54034,39.6,-0.98952,-0.98952,-0.98952,-0.98952,-0.98952,-0.98952,-1.16212,-1.25228,0.43016,0.77014,0.82134,0.82134,1.0095,2.31139,2.31139,3.01955,-0.06155,0.0182,0.04668,-0.0035,0.11884,0.54355,0.23852,0.64578,3.20598,-0.06155,0.00377,0.04062,-0.00699,0.1138,0.56829,0.30359,0.59577,3.47837
03/25/2014,117.67,118.31,116.14,116.93,-0.33,-0.28%,47699600,0.34965,-0.79251,-1.25042,-1.11765,-1.76156,-0.63334,-1.72875,0.89171,-2.63158,-27.27273,-27.27273,-27.27273,-27.27273,-27.27273,-30.84112,-16.4,-1.3084,-2.15367,-2.15367,-2.15367,-2.15367,-2.15367,-2.32423,-2.41334,1.27378,1.27378,1.27378,1.27378,1.27378,1.27378,1.27378,1.80827,0.09357,-0.57597,-0.74416,-0.82666,-0.92727,-0.55465,-0.80066,-0.58101,1.94904,0.09357,-0.46633,-0.6046,-0.71883,-0.82633,-0.49491,-0.71139,-0.61043,2.19535
